"","Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Mins_Per_90","Att","Live_Pass_Types","Dead_Pass_Types","FK_Pass_Types","TB_Pass_Types","Sw_Pass_Types","Crs_Pass_Types","TI_Pass_Types","CK_Pass_Types","In_Corner_Kicks","Out_Corner_Kicks","Str_Corner_Kicks","Cmp_Outcomes","Off_Outcomes","Blocks_Outcomes"
"1","La Liga","M","ESP",2020,"Alavés","team",32,38,13973,11911,2001,543,17,108,562,881,136,52,53,0,9612,61,278
"2","La Liga","M","ESP",2020,"Athletic Club","team",26,38,16915,14889,1942,517,14,200,754,874,178,70,65,6,12533,84,306
"3","La Liga","M","ESP",2020,"Atlético Madrid","team",30,38,17765,15735,1914,511,62,123,574,835,183,60,92,0,13595,116,283
"4","La Liga","M","ESP",2020,"Barcelona","team",28,38,28227,26418,1726,573,86,183,417,638,185,92,27,2,24758,83,337
"5","La Liga","M","ESP",2020,"Betis","team",27,38,19823,17676,2063,699,30,205,624,799,185,67,41,2,16182,84,337
"6","La Liga","M","ESP",2020,"Celta Vigo","team",30,38,18557,16543,1944,593,38,138,636,749,176,61,78,2,14552,70,367
"7","La Liga","M","ESP",2020,"Eibar","team",26,38,15551,13381,2097,531,11,221,870,1015,189,69,101,1,10439,73,286
"8","La Liga","M","ESP",2020,"Espanyol","team",31,38,16363,14389,1909,543,19,146,710,800,156,59,64,6,11881,65,281
"9","La Liga","M","ESP",2020,"Getafe","team",30,38,13715,11368,2241,630,27,215,833,1094,185,41,69,2,8319,106,377
"10","La Liga","M","ESP",2020,"Granada","team",27,38,14105,12058,1977,582,16,133,670,825,163,64,57,0,9810,70,306
"11","La Liga","M","ESP",2020,"Leganés","team",29,38,14838,12774,1989,565,20,160,771,886,157,42,83,3,10336,75,296
"12","La Liga","M","ESP",2020,"Levante","team",29,38,16332,14321,1930,548,34,227,697,749,189,91,42,6,12415,81,335
"13","La Liga","M","ESP",2020,"Mallorca","team",32,38,15636,13615,1963,577,18,119,682,793,171,64,60,0,11782,58,325
"14","La Liga","M","ESP",2020,"Osasuna","team",31,38,15904,13788,2036,533,16,192,755,926,180,67,72,1,10959,80,316
"15","La Liga","M","ESP",2020,"Real Madrid","team",26,38,23733,21828,1821,534,59,445,776,786,192,51,68,0,20107,84,328
"16","La Liga","M","ESP",2020,"Real Sociedad","team",27,38,20229,18172,1979,598,54,115,719,868,181,99,33,2,15989,78,376
"17","La Liga","M","ESP",2020,"Sevilla","team",26,38,21733,19673,1968,553,30,384,880,837,226,72,79,6,17525,92,350
"18","La Liga","M","ESP",2020,"Valencia","team",28,38,18258,16284,1874,591,46,238,677,688,169,54,70,8,14490,100,257
"19","La Liga","M","ESP",2020,"Valladolid","team",30,38,15457,13389,1987,574,24,214,645,806,161,62,56,0,11187,81,293
"20","La Liga","M","ESP",2020,"Villarreal","team",25,38,20045,18098,1876,510,42,267,619,804,148,53,57,0,16218,71,290
"21","La Liga","M","ESP",2020,"vs Alavés","opponent",32,38,20109,18001,2016,631,43,269,695,907,176,65,59,5,15671,92,329
"22","La Liga","M","ESP",2020,"vs Athletic Club","opponent",26,38,18082,16006,2005,558,32,208,737,876,173,68,60,2,13649,71,316
"23","La Liga","M","ESP",2020,"vs Atlético Madrid","opponent",30,38,19126,17114,1978,598,15,243,728,769,180,63,67,2,14900,34,343
"24","La Liga","M","ESP",2020,"vs Barcelona","opponent",28,38,14303,12675,1560,465,26,159,560,564,137,48,43,4,10889,68,276
"25","La Liga","M","ESP",2020,"vs Betis","opponent",27,38,15463,13476,1862,519,31,172,708,740,202,75,74,5,11625,125,273
"26","La Liga","M","ESP",2020,"vs Celta Vigo","opponent",30,38,17544,15616,1862,511,19,206,783,838,206,83,79,1,13456,66,329
"27","La Liga","M","ESP",2020,"vs Eibar","opponent",26,38,18285,15925,2239,580,49,231,630,1037,189,69,63,1,13273,121,310
"28","La Liga","M","ESP",2020,"vs Espanyol","opponent",31,38,18345,16269,2005,608,40,235,646,833,169,69,50,0,13993,71,343
"29","La Liga","M","ESP",2020,"vs Getafe","opponent",30,38,16917,14498,2276,782,39,190,505,947,132,49,48,1,11770,143,356
"30","La Liga","M","ESP",2020,"vs Granada","opponent",27,38,18617,16434,2108,617,36,215,724,942,181,70,69,1,14365,75,316
"31","La Liga","M","ESP",2020,"vs Leganés","opponent",29,38,19534,17372,2094,632,23,273,636,920,153,63,49,1,15049,68,294
"32","La Liga","M","ESP",2020,"vs Levante","opponent",29,38,17798,15792,1920,508,36,194,854,803,219,78,87,4,13838,86,286
"33","La Liga","M","ESP",2020,"vs Mallorca","opponent",32,38,19483,17602,1827,526,32,173,737,726,177,54,70,3,15595,54,307
"34","La Liga","M","ESP",2020,"vs Osasuna","opponent",31,38,17987,15674,2193,592,52,171,666,1009,176,58,57,4,13039,120,356
"35","La Liga","M","ESP",2020,"vs Real Madrid","opponent",26,38,16712,14786,1862,549,26,161,621,726,148,61,54,1,12998,64,360
"36","La Liga","M","ESP",2020,"vs Real Sociedad","opponent",27,38,15849,13840,1914,553,28,195,590,835,147,52,60,5,11671,95,319
"37","La Liga","M","ESP",2020,"vs Sevilla","opponent",26,38,15845,13850,1929,572,36,135,606,808,146,56,50,1,11772,66,287
"38","La Liga","M","ESP",2020,"vs Valencia","opponent",28,38,19444,17692,1695,464,34,206,826,697,178,58,71,1,15727,57,267
"39","La Liga","M","ESP",2020,"vs Valladolid","opponent",30,38,19675,17690,1939,526,39,186,781,865,195,65,68,1,15445,46,356
"40","La Liga","M","ESP",2020,"vs Villarreal","opponent",25,38,18041,15998,1953,514,27,211,838,811,226,86,89,4,13964,90,301
